XCoord,YCoord,FID,accessType,NAME,xcoord_cen,ycoord_cen
330065.30000000,672268.20000000,59,Pedestrian,Jewel Park,-3.121117,55.938353
330430.29000000,672269.92000000,60,Pedestrian,Jewel Park,-3.115277,55.938422
330324.07000000,672326.39930000,61,Pedestrian,Jewel Park,-3.116991,55.938914
324922.11000000,672334.50000000,62,Pedestrian,The Meadows amd Bruntsfield Links,-3.203448,55.938173
330070.35000000,672346.35000000,63,Pedestrian,Jewel Park,-3.121057,55.939056
324910.85000000,672372.52000000,64,Pedestrian,The Meadows amd Bruntsfield Links,-3.203639,55.938512
325077.87000000,672410.91000000,65,Pedestrian,The Meadows amd Bruntsfield Links,-3.200977,55.938883
325259.56000000,672463.66000000,66,Pedestrian,The Meadows amd Bruntsfield Links,-3.198084,55.939385
327251.53000000,672473.53000000,67,Pedestrian,Holyrood Park,-3.166205,55.939779
325941.01000000,672491.85010000,68,Pedestrian,The Meadows and Bruntsfield Links,-3.187185,55.939744
318462.52000000,672493.61000000,69,Pedestrian,Gyle Park & Playing Fields,-3.306873,55.938547
326037.25010000,672505.82950000,70,Pedestrian,The Meadows and Bruntsfield Links,-3.185649,55.939884
319211.02990000,672508.81000000,71,Pedestrian,Gyle Park & Playing Fields,-3.294898,55.938810
318796.90000000,672509.80000000,72,Pedestrian,Gyle Park & Playing Fields,-3.301526,55.938749
325667.73000000,672522.49000000,73,Pedestrian,The Meadows and Bruntsfield Links,-3.191567,55.939977
318933.74000000,672528.78000000,74,Pedestrian,Gyle Park & Playing Fields,-3.299342,55.938943
327519.87000000,672529.18000000,75,Pedestrian,Holyrood Park,-3.161926,55.940320
325430.15060000,672541.02010000,76,Pedestrian,The Meadows amd Bruntsfield Links,-3.195375,55.940107
326138.09010000,672546.16980000,77,Pedestrian,The Meadows and Bruntsfield Links,-3.184046,55.940262
324943.98000000,672553.71000000,78,Pedestrian,The Meadows amd Bruntsfield Links,-3.203159,55.940145
326139.79000000,672590.97000000,79,Pedestrian,The Meadows and Bruntsfield Links,-3.184031,55.940665
318646.30000000,672608.44000000,80,Pedestrian,Gyle Park & Playing Fields,-3.303966,55.939610
318638.74000000,672609.18000000,81,Pedestrian,Gyle Park & Playing Fields,-3.304087,55.939615
327332.06000000,672611.20000000,82,Pedestrian,Holyrood Park,-3.164954,55.941028
326076.99000000,672616.10000000,83,Pedestrian,The Meadows and Bruntsfield Links,-3.185043,55.940881
326194.04070000,672641.71040000,84,Pedestrian,The Meadows and Bruntsfield Links,-3.183176,55.941129
325143.35000000,672644.00000000,85,Pedestrian,The Meadows amd Bruntsfield Links,-3.199994,55.940987
325202.61000000,672650.12000000,86,Pedestrian,The Meadows amd Bruntsfield Links,-3.199047,55.941051
326914.48000000,672671.73000000,87,Pedestrian,Holyrood Park,-3.171654,55.941509
327011.69000000,672676.02000000,88,Pedestrian,Holyrood Park,-3.170099,55.941562
326902.29000000,672683.74000000,89,Pedestrian,Holyrood Park,-3.171852,55.941615
318470.61000000,672685.59000000,90,Pedestrian,Gyle Park & Playing Fields,-3.306801,55.940273
325899.96000000,672700.12000000,91,Pedestrian,The Meadows and Bruntsfield Links,-3.187899,55.941609
328272.72000000,672706.90000000,92,Pedestrian,Holyrood Park,-3.149923,55.942029
325989.03000000,672744.29000000,93,Pedestrian,The Meadows and Bruntsfield Links,-3.186486,55.942019
326992.70000000,672745.20000000,94,Pedestrian,Holyrood Park,-3.170422,55.942181
327001.56000000,672745.38000000,95,Pedestrian,Holyrood Park,-3.170280,55.942184
325129.55000000,672750.68000000,96,Pedestrian,The Meadows and Bruntsfield Links,-3.200244,55.941943
327140.01000000,672757.83000000,97,Pedestrian,Holyrood Park,-3.168067,55.942316
318771.84000000,672759.07000000,98,Pedestrian,Gyle Park & Playing Fields,-3.302003,55.940984
327240.81000000,672764.66000000,99,Pedestrian,Holyrood Park,-3.166456,55.942393
326996.70000000,672764.95000000,100,Pedestrian,Holyrood Park,-3.170363,55.942359
327188.07000000,672765.92000000,101,Pedestrian,Holyrood Park,-3.167300,55.942396
