X,Y,DataZone,SUM_Recrea,Rank_1,Quintile,Nearest_gr,Parks_acce,Shape_Leng,Shape_Area,datazone_name
323916.8932,669352.0125,S01008524,2.78,434,3,6,Braidburn Valley Park,2841.025646,135399.3542,Colinton Mains and Firrhill - 01
323250.7907,669181.574,S01008525,2.78,434,3,6,Braidburn Valley Park,3439.096488,188770.6198,Colinton Mains and Firrhill - 02
322964.0344,669500.14,S01008526,0,1,1,0,,3059.671237,258281.6524,Colinton Mains and Firrhill - 03
322997.743,669128.5,S01008527,0,1,1,0,,1556.304003,91153.08198,Colinton Mains and Firrhill - 04
323146.3007,668933.3705,S01008528,0,1,1,0,,1440.977419,80236.43686,Colinton Mains and Firrhill - 05
323309.0786,668729.2935,S01008529,0,1,1,0,,1985.619613,114554.5974,Oxgangs - 01
323555.399,668922.5,S01008530,2.78,434,3,2,Braidburn Valley Park,1509.189925,79070.71231,Oxgangs - 02
323798.4551,669045.7535,S01008531,2.78,434,3,6,Braidburn Valley Park,2291.081466,133218.739,Oxgangs - 03
323810.5808,668679.556,S01008532,0,1,1,0,,1438.968949,72725.22086,Oxgangs - 04
323372.0577,668528.5,S01008533,0,1,1,0,,2379.477858,137716.6243,Comiston and Swanston - 01
323179.1976,668255.5,S01008534,0,1,1,0,,2139.335526,167586.1792,Comiston and Swanston - 02
323740.2502,668153.039,S01008535,0,1,1,0,,2439.306896,187636.8517,Comiston and Swanston - 03
324051.0979,668510.95,S01008536,0,1,1,0,,2068.878902,127985.9576,Comiston and Swanston - 04
324213.1145,668125.881,S01008537,0,1,1,0,,2128.084886,147394.4025,Comiston and Swanston - 05
324451.9698,668429.5,S01008538,0,1,1,1,Braidburn Valley Park,2786.748595,174270.5395,Comiston and Swanston - 06
324204.1534,668825.415,S01008539,2.78,434,3,6,Braidburn Valley Park,2986.635793,257283.1054,Comiston and Swanston - 07
324309.3743,669236,S01008540,2.78,434,3,8,Braidburn Valley Park,2717.135215,249354.502,Comiston and Swanston - 08
