X,Y,DataZone,SUM_Recrea,Rank_1,Quintile,Nearest_gr,Parks_acce,Shape_Leng,Shape_Area
324213.114497396,668125.880999634,S01008537,0,1,1,0,,2128.08488562,147394.402534
324451.969803459,668429.500000432,S01008538,0,1,1,1,Braidburn Valley Park,2786.74859486,174270.539482
324204.153357596,668825.414999857,S01008539,2.78,434,3,6,Braidburn Valley Park,2986.6357926,257283.105434
324309.37430381,669236.0,S01008540,2.78,434,3,8,Braidburn Valley Park,2717.13521535,249354.502044
324876.590509056,668990.0,S01008541,2.78,434,3,3,Braidburn Valley Park,2355.97688137,133666.823689
324875.853309308,668627.24099999,S01008542,2.78,434,3,6,Braidburn Valley Park,3137.2284344,309881.30933
325162.255156465,668860.0,S01008543,0,1,1,0,,2282.95078923,108432.245986
325366.174241947,668417.311499553,S01008544,0,1,1,0,,2515.34420113,162731.576067
325410.720041499,667989.235499078,S01008545,0,1,1,0,,4471.2320712,403232.642371
324913.644060986,667592.772500292,S01008546,0,1,1,0,,5643.49100677,571344.038881
328277.938061807,667792.500000962,S01008547,1.71,284,2,27,,4479.99045805,444435.944435
328617.862418463,667798.713500261,S01008548,1.71,284,2,24,,3749.54991803,263104.48803
330277.717755046,668047.463000532,S01008549,2.5,399,3,10,"Burdiehouse Burn Valley Park inc Moredun Wood,Mortonhall Caravan Park",21197.9292045,6042237.23026
326226.764145966,668492.197499855,S01008550,0.79,247,2,2,Mortonhall Caravan Park,4880.90784429,491633.398676
327000.836301013,668505.060000651,S01008551,0,1,1,2,"Mortonhall Caravan Park,Burdiehouse Burn Valley Park inc Moredun Wood",2838.12773104,211237.308635
326950.534947871,668219.99999974,S01008552,1.71,284,2,4,"Burdiehouse Burn Valley Park inc Moredun Wood,Mortonhall Caravan Park",2898.0675288,291260.97449
327557.644242298,667898.499999942,S01008553,1.71,284,2,25,"Burdiehouse Burn Valley Park inc Moredun Wood,Mortonhall Caravan Park",2715.65770823,141397.228279
327686.374405337,667584.0,S01008554,1.71,284,2,3,Burdiehouse Burn Valley Park inc Moredun Wood,3329.70655116,246353.182364
327914.225093918,668093.78200065,S01008555,1.71,284,2,27,Burdiehouse Burn Valley Park inc Moredun Wood,2347.00629252,114923.797953
327519.082305345,668488.424499788,S01008556,1.71,284,2,20,Burdiehouse Burn Valley Park inc Moredun Wood,1633.39358192,96592.8427104
327964.839533608,668552.08699922,S01008557,1.71,284,2,27,Burdiehouse Burn Valley Park inc Moredun Wood,4266.20320874,343463.382194
327515.994136873,668832.625500128,S01008558,1.71,284,2,2,Burdiehouse Burn Valley Park inc Moredun Wood,2122.73102068,165316.953517
328423.539778587,668739.0,S01008559,1.71,284,2,24,Burdiehouse Burn Valley Park inc Moredun Wood,1493.15257237,108648.786681
328509.262467556,668271.402999812,S01008560,1.71,284,2,24,Burdiehouse Burn Valley Park inc Moredun Wood,1604.80859363,135538.903747
328662.610476654,668850.00000055,S01008561,1.71,284,2,24,Burdiehouse Burn Valley Park inc Moredun Wood,2381.33924356,126180.242135
328832.391124298,668600.431500792,S01008562,1.71,284,2,24,Burdiehouse Burn Valley Park inc Moredun Wood,2527.00751323,157738.138714
329084.639425425,668582.012000287,S01008563,1.71,284,2,4,Burdiehouse Burn Valley Park inc Moredun Wood,2997.10192154,146640.307904
329506.681528842,668809.0,S01008564,0,1,1,0,,2121.19144843,112350.400847
329231.529118431,669075.499500753,S01008565,0,1,1,0,,2968.05274128,217986.001253
329469.017588902,669360.754500021,S01008566,0,1,1,0,,2317.33145621,159374.960208
329257.580166865,669556.000499401,S01008567,0,1,1,0,,2295.70877292,142699.404766
328965.647949487,670163.500001049,S01008568,2.86,444,4,6,Craigmillar Castle Park inc Hawkhill,3459.56729012,224381.303933
328959.773514623,669958.0,S01008569,0,1,1,0,,729.377256737,29005.5651279
329050.525429882,669725.499999322,S01008570,0,1,1,0,,2119.10905716,104035.098321
328857.729348486,669243.99900078,S01008571,0,1,1,0,,1910.34312868,126065.569589
328747.186898483,669691.816000056,S01008572,0,1,1,0,,2991.94701629,202060.428869
328607.407905006,669168.610499963,S01008573,0,1,1,2,Burdiehouse Burn Valley Park inc Moredun Wood,2253.82012739,222206.453585
