datazone_code,datazone_name,greenspace_name
S01008602,Newington and Dalkeith Road - 04,Duddingston Loch and Bird Sanctuary 
S01008603,Newington and Dalkeith Road - 05,The Meadows and Bruntsfield Links 
S01008603,Newington and Dalkeith Road - 05,Holyrood Park 
S01008603,Newington and Dalkeith Road - 05,Duddingston Loch and Bird Sanctuary 
S01008604,The Grange - 01,The Meadows and Bruntsfield Links 
S01008604,The Grange - 01,Holyrood Park 
S01008605,The Grange - 02,The Meadows and Bruntsfield Links 
S01008606,The Grange - 03,-
S01008607,The Grange - 04,The Meadows and Bruntsfield Links 
S01008608,The Grange - 05,Hermitage of Braid/Blackford Hill & Pond 
S01008609,The Grange - 06,Hermitage of Braid/Blackford Hill & Pond 
S01008610,The Grange - 07,The Meadows and Bruntsfield Links 
S01008610,The Grange - 07,Hermitage of Braid/Blackford Hill & Pond 
S01008611,Marchmont East and Sciennes - 01,The Meadows and Bruntsfield Links 
S01008611,Marchmont East and Sciennes - 01,Holyrood Park 
S01008612,Marchmont East and Sciennes - 02,The Meadows and Bruntsfield Links 
S01008612,Marchmont East and Sciennes - 02,Holyrood Park 
S01008613,Marchmont East and Sciennes - 03,The Meadows and Bruntsfield Links 
S01008614,Marchmont East and Sciennes - 04,The Meadows and Bruntsfield Links 
S01008615,Marchmont East and Sciennes - 05,The Meadows and Bruntsfield Links 
S01008616,Marchmont East and Sciennes - 06,The Meadows and Bruntsfield Links 
S01008617,Marchmont West - 01,The Meadows and Bruntsfield Links 
S01008618,Marchmont West - 02,The Meadows and Bruntsfield Links 
S01008619,Marchmont West - 03,The Meadows and Bruntsfield Links 
S01008620,Marchmont West - 04,The Meadows and Bruntsfield Links 
S01008621,Marchmont West - 05,The Meadows and Bruntsfield Links 
S01008622,Marchmont West - 06,The Meadows and Bruntsfield Links 
S01008623,Marchmont West - 07,The Meadows and Bruntsfield Links 
S01008624,Morningside - 01,Hermitage of Braid/Blackford Hill & Pond 
S01008624,Morningside - 01,The Meadows and Bruntsfield Links 
S01008625,Morningside - 02,Hermitage of Braid/Blackford Hill & Pond 
S01008626,Morningside - 03,Hermitage of Braid/Blackford Hill & Pond 
S01008626,Morningside - 03,Braidburn Valley Park 
S01008627,Morningside - 04,Hermitage of Braid/Blackford Hill & Pond 
S01008628,Morningside - 05,Hermitage of Braid/Blackford Hill & Pond 
S01008629,Morningside - 06,-
S01008630,Morningside - 07,-
S01008631,Morningside - 08,-
S01008632,Merchiston and Greenhill - 01,Easter Craiglockhart Hill 
S01008633,Merchiston and Greenhill - 02,Easter Craiglockhart Hill 
S01008634,Merchiston and Greenhill - 03,The Meadows and Bruntsfield Links 
S01008635,Merchiston and Greenhill - 04,The Meadows and Bruntsfield Links 
